Code,Location,Area,Price,Image,Link
P00186,ห้องชุดเลขที่ 950/52 ชั้น 6 โครงการบ้านอุดมสุขคอนโดมิเนี่ยม 2 ซอยอุดมสุข 42 (บางนาตราด 19 แยก 14) ถนนอุดมสุข แขวงบางนา เขตพระโขนง กรุงเทพมหานคร,0000-0-00.0 / 23.37 ตร.ม.,"234,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3746_20220512114823.jpg,https://www.ttbbank.com/property/property/detail/P00186
C10125,ห้องชุดเลขที่ 1638/90 โครงการ 101 แมนชั่นคอนโดมิเนียม ถนนลาดพร้าว ซอย 101 แยก 38 (สันติสุข) แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร,0000-0-00.0 / 33.56 ตร.ม.,"425,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3013_20210621171407.jpg,https://www.ttbbank.com/property/property/detail/C10125
B12100,477/18 ชั้น 2 อาคาร ซี อาคารชุดเทพลีลา คอนโดทาวน์ ซอยพระยาประเสริฐ แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร,0000-0-00.0 / 24.3 ตร.ม.,"454,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3919_20220803201316.jpg,https://www.ttbbank.com/property/property/detail/B12100
P00001,312/213 ชั้น 7 อาคาร A อาคารชุดบ้านพระยาภิรมย์-รัชดา ซอยรัชดาภิเษก 36 (เสือใหญ่อุทิศ) แยก 11  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร,0000-0-00.0 / 31.86 ตร.ม.,"513,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3789_20220511143250.jpg,https://www.ttbbank.com/property/property/detail/P00001
P00212,3272/110 ชั้น 5 อาคาร อี2 อาคารชุดซิตี้ วิลล่า ซอยลาดพร้าว126 ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร,0000-0-00.0 / 32.88 ตร.ม.,"902,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2602_20210216142619.jpg,https://www.ttbbank.com/property/property/detail/P00212
B12648,16/129 ชั้น 5 อาคาร E อาคารชุดสมาร์ทคอนโด พระราม 2 ถนนบางขุนเทียน 16 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,0000-0-00.0 / 28.5 ตร.ม.,"1,004,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2489_20201103165949.jpg,https://www.ttbbank.com/property/property/detail/B12648
B12776,99/83 ชั้นล่าง อาคารบี อาคารชุดลุมพินี คอนโดทาวน์ บางแค  ถนนบางแค แขวงบางแค เขตบางแค กรุงเทพมหานคร,0000-0-00.0 / 26.31 ตร.ม.,"1,188,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3825_20220605081231.jpg,https://www.ttbbank.com/property/property/detail/B12776
C10114,ห้องชุดเลขที่ 104/78 ชั้น4 อาคาร 3 โครงการไอริส แอเวนิว ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร,0000-0-00.0 / 28.01 ตร.ม.,"1,263,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3067_20210617172431.jpg,https://www.ttbbank.com/property/property/detail/C10114
P00323,ห้องชุดเลขที่ 1/30 อาคาร เอ ชั้น 2 โครงการลุมพินีวิลล์ อ่อนนุช-พัฒนาการ ซอยอ่อนนุช 55-1 ถนนอ่อนนุช แขวงประเวศ เขตประเวศ กรุงเทพมหานคร,0000-0-00.0 / 22.66 ตร.ม.,"1,322,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3690_20220406191527.jpg,https://www.ttbbank.com/property/property/detail/P00323
B12196,45 ซอยเพชรเกษม 79 แยก 1 ถนนเพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร,0000-0-20.0 / 20 ตร.ว.,"1,400,000บาท",https://media.tmbbank.com/uploads/npa/product/img/281_20200220095812.jpg,https://www.ttbbank.com/property/property/detail/B12196
P00365,ห้องชุดเลขที่ 194/101 ชั้น 4 อาคาร D โครงการเมโทรพาร์ค สาทร 3-2 ถนนกัลปพฤกษ์ แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร,0000-0-00.0 / 31.61 ตร.ม.,"1,496,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3117_20210621172149.jpg,https://www.ttbbank.com/property/property/detail/P00365
